A Taste Of Honey.xml,A,P2,F#,0
Anna Go To Him.xml,D,P0,D,0
Ask Me Why.xml,E,P2,E,0
Baby Its You.xml,G,P4,G,1
Boys.xml,E,P4,E,0
Chains.xml,A#,P5,A#,0
Do You Want To Know A Secret.xml,E,P4,B,4
I Saw Her Standing There.xml,E,P3,E,4
Love Me Do.xml,G,P1,G,0
Misery.xml,C,P4,C,0
Please Please Me.xml,E,P6,E,4
Ps I Love You.xml,D,P2,D,0
Theres A Place.xml,E,P7,E,4
Twist And Shout.xml,D,P4,A,2
