song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
a_hard_days_night;6;G;['None'];[('4/4', 1)];110.9375;1.0;13.625;6.75;50.375;46.5;0.25;85.9375;0.5;37.5;18.75;28.125;25.625[('major', 20.625), ('unison', 2.5), ('quartal', 2), ('7', 0.5)];0.5[('interval class 3', 0.5)];0[None];3.875[('7', 3.25), ('unison', 0.625)];6.0[('minor', 6.0)];7.375[('major', 3.5), ('quartal', 2), ('interval class 4', 1.0), ('unison', 0.875)];0[None];10.375[('7', 3.0), ('unison', 2.25), ('quartal', 2), ('ninth', 1.125), ('interval class 3', 1.0), ('interval class 4', 1.0)];0.5[('interval class 3', 0.5)];6.5[('minor', 4.0), ('interval class 3', 2.0), ('interval class 4', 0.5)];3.5[('major', 3.0), ('unison', 0.5)];0.5[('interval class 3', 0.5)]
and_i_love_her;4;E;['F'];[('4/4', 1)];47.8125;26.0625;50.5;33.75;59.875;47.4375;18.25;34.875;13.71875;72.375;54.34375;18.25;4.125[('major', 4.125)];3.25[('major', 2.75), ('interval class 5', 0.5)];9.625[('minor', 9.625)];10.0[('minor', 10.0)];4.0[('minor', 4.0)];4.375[('major', 3.0), ('interval class 4', 1.375)];0[None];8.5[('major', 7.5), ('7', 1.0)];2.0[('major', 2.0)];17.0[('minor', 16.75), ('interval class 5', 0.25)];12.0[('minor', 7.75), ('major', 4.0), ('interval class 5', 0.25)];0[None]
any_time_at_all;5;D;['None'];[('4/4', 1)];172.1875;1.25;85.375;6.5625;120.625;77.625;1.25;158.25;19.75;79.25;1.75;69.375;49.5[('major', 40.25), ('minor 7', 4), ('unison', 2.0), ('quartal', 2.0), ('major-second major tetrachord', 1.25)];0[None];4.125[('unison', 2.625), ('minor 7', 1.5)];0[None];9.625[('minor', 8.0), ('unison', 1.625)];14.125[('major', 8.375), ('minor', 4.0), ('unison', 1.75)];0[None];35.875[('major', 23.125), ('7', 12.25), ('unison', 0.25), ('Persian pentamirror', 0.25)];0.25[('unison', 0.25)];17.0[('minor', 16.0), ('unison', 1.0)];1.25[('aug major tetrachord', 1.0), ('unison', 0.25)];1.25[('unison', 1.25)]
cant_buy_me_love;4;C;['None'];[('4/4', 1)];111.875;0;25.0;9.125;146.875;33.90625;0;69.75;0;52.625;29.90625;41.375;0[None];0[None];7.375[('minor', 3.875), ('minor 7', 3.5)];6.5[('7', 6.25), ('tritone', 0.25)];22.25[('minor', 19.125), ('minor 7', 3.125)];1.25[('major', 1.25)];0[None];3.0[('7', 2.0), ('interval class 4', 0.625), ('interval class 2', 0.25), ('major', 0.125)];0[None];15.25[('minor', 15.25)];27.0[('7', 27.0)];0.5[('tritone', 0.375), ('interval class 4', 0.125)]
i_should_have_known_better;5;G;['None'];[('4/4', 1)];200.875;0;42.125;0.5;164.15625;55.75;1.0;164.375;8.25;115.375;7.5;54.0;41.25[('major', 37.25), ('7', 4.0)];0[None];0[None];0[None];22.0[('interval class 3', 13.875), ('7', 8.0), ('interval class 4', 0.125)];23.875[('major', 17.25), ('interval class 4', 6.625)];0[None];33.75[('major', 25.125), ('7', 4.0), ('interval class 3', 2.625), ('interval class 4', 2.0)];0[None];23.375[('minor', 23.375)];0.125[('interval class 4', 0.125)];0[None]
if_i_fell;6;D;['None'];[('4/4', 1)];103.75;8.75;72.875;13.625;59.75;72.875;7.5;80.75;22.625;44.0;13.0;47.5;21.375[('major', 15.0), ('7', 4.0), ('interval class 4', 2.375)];4.0[('minor', 4.0)];14.5[('minor 7', 9.5), ('minor', 4.0), ('interval class 3', 1.0)];6.0[('major', 4.0), ('minor 7', 2.0)];7.0[('minor', 6.0), ('interval class 3', 1.0)];12.375[('minor', 6.875), ('interval class 4', 2.0), ('major', 2.0), ('interval class 5', 1.5)];0[None];14.25[('7', 11.5), ('major', 1.5), ('interval class 5', 1.25)];0[None];0[None];1.0[('interval class 4', 1.0)];0[None]
ill_be_back;4;A;['None'];[('4/4', 2), ('2/4', 2)];85.5625;0.5;67.0;22.5;47.125;23.5625;2.0;113.0625;10.5;39.9375;21.375;24.5;29.0625[('major', 14.25), ('minor', 8.75), ('interval class 3', 4.75), ('interval class 4', 1.3125)];0[None];9.3125[('minor', 6.0), ('7', 2.0), ('interval class 3', 1.3125)];1.5[('interval class 4', 1.5)];4.25[('minor', 4.0), ('minor 7', 0.25)];3.5[('major', 3.5)];0[None];13.25[('major', 13.0), ('7', 0.25)];7.5[('major 7', 7.5)];6.25[('minor', 5.875), ('interval class 3', 0.375)];6.375[('major', 6.0), ('interval class 4', 0.375)];1.5[('interval class 3', 1.5)]
ill_cry_instead;4;G;['None'];[('4/4', 1)];68.625;0.125;21.25;3.25;36.375;25.75;5.125;40.875;0.375;27.375;0.5;14.375;14.5[('major', 14.5)];0[None];8.875[('minor', 3.0), ('minor 7', 3.0), ('7', 2.5), ('interval class 5', 0.375)];0.625[('7', 0.625)];2.0[('minor', 2.0)];4.0[('major', 4.0)];0[None];7.625[('7', 3.5), ('major', 2.5), ('interval class 5', 1.0), ('interval class 4', 0.625)];0[None];1.0[('minor', 1.0)];0[None];0[None]
im_happy_just_to_dance_with_you;5;E;['None'];[('4/4', 1)];42.125;0;33.5;1.3125;49.25;18.1875;0;25.25;4.375;46.5;0;18.625;3.6875[('interval class 4', 1.875), ('major', 1.5), ('interval class 5', 0.3125)];0[None];5.4375[('minor', 3.875), ('minor 7', 1.4375), ('perfect-fourth minor tetrachord', 0.125)];0.8125[('aug-dim ninth', 0.8125)];2.125[('minor 7', 1.5), ('minor', 0.625)];1.5[('major', 1.5)];0[None];2.0[('7', 2.0)];0[None];18.4375[('minor', 11.6875), ('interval class 3', 4.0), ('minor 7', 2.75)];0[None];7.0[('7', 4.375), ('interval class 3', 2.625)]
tell_me_why;4;D;['None'];[('4/4', 1)];81.75;0;72.375;8.75;47.25;36.25;1.75;106.625;4.625;71.75;1.375;25.875;25.25[('major', 13.0), ('interval class 5', 6.375), ('7', 3.0), ('interval class 4', 2.875)];0[None];15.375[('minor 7', 8.75), ('interval class 5', 3.625), ('minor', 1.75), ('interval class 3', 1.0), ('quartal', 0.25)];0[None];7.75[('interval class 3', 5.625), ('interval class 5', 1.5), ('minor-dim ninth', 0.625)];4.25[('7', 1.875), ('interval class 5', 1.375), ('interval class 4', 1.0)];0[None];18.375[('7', 14.0), ('major', 4.375)];0[None];12.125[('minor 7', 7.5), ('minor', 3.25), ('interval class 2', 0.75), ('interval class 5', 0.625)];0[None];0[None]
