song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
all_ive_got_to_do;5;E;130.625;0;34.9375;0;97.6875;48.625;0;43.0625;6.625;105.0625;0;2.125;24.25[('major', 24.25)];0[None];9.75[('minor', 8.25), ('dim-aug ninth', 1.5)];0[None];0[None];16.5[('major', 12.375), ('minor', 4.125)];0[None];0[None];0[None];22.125[('minor', 22.125)];0[None];0[None]
all_my_loving;4;E;124.34375;0;112.5;6.0;122.5;87.9375;0;100.75;5.0;93.21875;13.5;37.21875;35.0[('major', 31.75), ('minor 7', 2.25), ('interval class 5', 1.0)];0[None];19.625[('minor', 19.625)];0[None];0[None];16.875[('major', 15.375), ('7', 1.5)];0[None];29.75[('major', 20.625), ('7', 9.125)];2.0[('aug', 2.0)];19.25[('minor', 19.25)];6.75[('major', 6.0), ('interval class 5', 0.75)];0[None]
devil_in_her_heart;6;G;150.375;0.75;94.25;0.375;43.375;93.375;3.375;106.25;15.75;72.0;12.25;29.125;17.5[('major', 11.375), ('7', 6.0), ('perfect-fourth major tetrachord', 0.125)];0[None];12.625[('minor 7', 9.625), ('7', 3.0)];0[None];0[None];18.875[('major', 12.875), ('minor', 6.0)];0[None];12.625[('7', 12.625)];0[None];2.0[('major pentatonic', 1.0), ('minor 7', 1.0)];0[None];0[None]
dont_bother_me;5;G;130.9375;5.0;109.8125;0;212.8125;26.5;26.25;80.25;10.75;292.4375;0;67.8125;15.25[('major', 11.25), ('interval class 5', 4.0)];0[None];34.25[('major', 26.25), ('minor', 8.0)];0[None];18.0[('major', 10.0), ('minor', 8.0)];8.0[('major', 8.0)];0[None];12.5[('major', 12.5)];0[None];58.875[('minor', 53.375), ('major', 5.0), ('interval class 5', 0.5)];0[None];0[None]
hold_me_tight;5;F;205.75;0.25;62.875;37.5;57.125;84.9375;14.625;122.6875;12.875;56.125;12.75;19.75;37.5[('major', 30.0), ('minor', 7.5)];0[None];10.0[('7', 9.0), ('minor', 1)];0[None];0[None];10.0[('7', 10.0)];0[None];4.0[('major', 4.0)];0[None];14.5[('7', 11.0), ('major', 3.5)];0[None];0[None]
i_wanna_be_your_man;4;E;167.5;7.625;34.625;2.6875;58.375;22.875;2.375;134.5;0;15.75;65.125;14.25;46.5[('interval class 5', 40.0), ('major', 6.5)];0[None];6.0[('interval class 5', 6.0)];1.5[('major', 1.5)];40.0[('dim', 37.0), ('7', 3.0)];0[None];0[None];6.0[('7', 6.0)];0[None];0[None];9.0[('interval class 5', 6.0), ('major', 3.0)];0[None]
it_wont_be_long;5;E;114.875;7.25;22.0;20.125;45.5;27.125;3.5;61.46875;21.25;58.0;6.0;17.875;17.625[('major', 16.125), ('major 7', 1), ('major pentatonic', 0.25), ('minor', 0.25)];0.25[('major 7', 0.25)];1.75[('minor 7', 1.5), ('7', 0.25)];2[('aug', 2)];0[None];3.5[('major', 3.5)];1.5[('major-dim tetrachord', 1.5)];6.75[('7', 4.0), ('minor', 1.25), ('major', 1.0), ('interval class 5', 0.5)];3.0[('major', 3.0)];7.0[('minor', 7.0)];0[None];0[None]
little_child;5;E;172.8125;3.03125;66.90625;2.53125;70.375;69.0625;13.75;171.71875;0.03125;48.125;39.03125;20.125;48.625[('7', 28.875), ('major', 19.75)];0[None];11.75[('7', 8.25), ('quartal', 3.5)];0[None];1.875[('dim', 1.875)];13.75[('major', 12.25), ('7', 1.0), ('quartal', 0.5)];3.5[('dim', 3.5)];20.75[('7', 15.75), ('minor', 3.5), ('tritone quartal tetrachord', 1.5)];0[None];0[None];0[None];0[None]
money_thats_what_i_want;6;E;309.0625;0;36.0;102.625;98.625;137.65625;0;236.5;4.5;70.0;77.71875;25.875;81.75[('7', 65.25), ('major', 14.5), ('interval class 5', 2.0)];0[None];1.0[('minor', 1.0)];0[None];1.0[('dim', 1.0)];41.5[('7', 30.875), ('major', 10.625)];0[None];23.375[('7', 21.125), ('major', 0.875), ('interval class 5', 0.875), ('minor', 0.5)];0[None];11.5[('minor', 10.0), ('dim', 1.5)];4.0[('major', 4.0)];1.5[('dim', 1.5)]
not_a_second_time;5;G;132.625;0;73.25;0;128.40625;23.0;4.375;89.28125;0;119.5;0;36.0;26.25[('major', 26.25)];0[None];14.125[('minor', 7.5), ('7', 4.375), ('minor 7', 2.25)];0[None];8.5[('minor', 4.375), ('minor 7', 4.125)];0[None];0[None];15.75[('7', 10.0), ('major', 5.75)];0[None];22.375[('minor', 22.375)];0[None];0.75[('half-dim 7', 0.75)]
