song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
and_your_bird_can_sing;7;E;68.65625;7.1875;63.1875;37.0625;22.375;62.625;2.5;59.1875;21.875;25.3125;98.5625;11.5625;9.25[('minor', 7.0), ('minor 7', 2.25)];1.0[('aug', 1.0)];3.0[('minor', 2.0), ('minor-aug tetrachord', 1.0)];6.0[('major', 6.0)];0[None];4.0[('major', 4.0)];0[None];2.0[('7', 2.0)];0[None];0[None];38.6875[('major', 38.6875)];0[None]
doctor_robert;4;D;18.03125;28.375;68.40625;0;83.78125;30.59375;19.5625;78.625;20.25;95.46875;6.125;52.28125;0.125[('quartal', 0.125)];0[None];2.125[('major', 2.125)];0[None];11.125[('major', 10.625), ('interval class 5', 0.5)];0.25[('interval class 4', 0.25)];0[None];5.5[('7', 4.75), ('quartal', 0.75)];0[None];7.0[('major', 7.0)];0[None];0[None]
eleanor_rigby;6;G;89.375;0;28.9375;0;58.0;33.0;8.625;10.375;0;130.9375;1.25;5.5;1.0[('interval class 4', 1.0)];0[None];1.0[('minor', 0.75), ('interval class 5', 0.25)];0[None];0[None];9.75[('major', 9.75)];0[None];1.5[('major', 1.5)];0[None];17.625[('minor', 12.5), ('interval class 3', 4.75), ('interval class 5', 0.375)];1.0[('major', 1.0)];0[None]
for_no_one;4;B;32.8125;4.875;24.8125;0;24.1875;19.0625;0;39.125;0.9375;20.625;5.1875;8.4375;9.0[('major', 9.0)];0[None];0.75[('minor', 0.75)];0[None];2.25[('minor', 2.25)];0[None];0[None];0[None];0[None];0[None];0[None];0[None]
good_day_sunshine;3;B;74.25;9.03125;22.59375;9.5625;20.9375;92.0625;16.84375;65.4375;7.5625;13.75;44.5;14.3125;1.5[('major', 1.5)];0[None];0[None];0[None];4.625[('dim', 4.625)];5.0[('interval class 5', 5.0)];0[None];0[None];0[None];0[None];7.0[('major', 7.0)];0[None]
got_to_get_you_into_my_life;6;G;90.0625;2.0;13.625;5.8125;21.625;17.90625;0.25;34.875;0.125;7.78125;10.0;5.625;0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];3.0[('major', 3.0)];0[None]
here_there_and_everywhere;6;G;66.25;0;45.375;8.625;55.5;41.375;7.0;52.1875;9.6875;38.65625;5.5;26.125;14.8125[('major', 12.375), ('interval class 5', 1.5), ('minor', 0.9375)];0[None];15.4375[('minor', 9.1875), ('major', 4.5), ('minor 7', 1.5), ('minor-7', 0.25)];0[None];11.25[('minor', 6.25), ('major', 4.0), ('7', 1.0)];7.375[('major', 7.0), ('minor', 0.25), ('interval class 5', 0.125)];0[None];6.1875[('major', 4.0625), ('7', 1.625), ('minor 7', 0.5)];0[None];3.0[('minor', 3.0)];0.25[('major', 0.25)];2.125[('minor 7', 1.5), ('dim', 0.375), ('half-dim 7', 0.25)]
i_want_to_tell_you;4;A;114.15625;0;46.5;0.0625;32.75;14.9375;9.625;81.625;11.0;19.375;8.28125;2.375;21.125[('major', 21.125)];0[None];7.375[('major', 5.25), ('minor', 2.125)];0[None];2.75[('dim', 2), ('minor', 0.75)];0[None];3.375[('dim', 3.375)];0[None];0[None];1[('7', 1)];0[None];0[None]
im_only_sleeping;5;G;83.875;6.1875;57.6875;0.8125;91.4375;69.1875;2.4375;47.625;8.578125;139.0625;4.5;17.375;7.0[('major', 7.0)];0[None];18.0[('minor', 18.0)];0[None];6.25[('minor', 4.0), ('7', 2.25)];14.0[('major', 9.0), ('major 7', 5.0)];0[None];3.0[('minor', 3.0)];0[None];18.125[('minor', 9.125), ('minor 7', 5.0), ('7', 4.0)];0[None];0[None]
love_you_to;4;D#;9.15625;1.5;21.453125;1.0;103.109375;0;15.25;27.265625;3.125;177.0625;0;5.75;0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];75.5[('interval class 5', 75.5)];0[None];0[None]
she_said_she_said;6;D;61.0;12.1875;57.8125;5.75;13.5;47.25;11.6875;84.375;27.25;22.0625;0.75;41.25;6.0[('interval class 5', 3.0), ('major', 3.0)];0[None];1.5[('minor', 1.5)];0[None];0[None];5.25[('major', 5.25)];0[None];18.5[('7', 18.5)];0[None];0[None];0[None];0[None]
taxman;4;F;15.9375;0;19.875;0;36.25;4.875;2.875;60.0625;0.625;72.9375;0.25;9.75;0[None];0[None];1.875[('7', 1.875)];0[None];0[None];0.75[('dim', 0.75)];0[None];4.5[('major', 4.5)];0[None];26.25[('7', 21.0), ('minor 7', 5.25)];0[None];0[None]
tomorrow_never_knows;5;D#;1.625;22.5;8.3125;0.1875;29.1875;0;1.1875;39.3125;0.625;107.0625;0;6.25;0[None];0[None];0[None];0[None];0[None];0[None];0[None];20.0[('dim', 20.0)];0[None];0.25[('major', 0.25)];0[None];6[('major', 6)]
yellow_submarine;3;C#;118.03125;0;40.3125;0;31.5;106.3125;0;69.375;0;60.6875;24.71875;0;0[None];0[None];2.5[('minor', 2.5)];0[None];31.5[('major', 31.5)];25.5[('major', 25.5)];0[None];7.5[('minor', 7.5)];0[None];0[None];5.0[('major', 5.0)];0[None]
