title,number_of_parts,key,key_change_info,metrics,album,author,date,i,ix,ii,iix,iii,iv,ivx,v,vx,vi,vix,vii,ci,cix,cii,ciix,ciii,civ,civx,cv,cvx,cvi,cvix,cvii
old_brown_shoe,5,C,['None'],[('4/4'; 1)],single,harrison,05 69,305.5625,3.0625,109.125,33.875,120.5,124.75,18.875,127.875,48.375,139.9375,80.375,50.59375,47.0[('interval class 5'; 18.75); ('major'; 16.0); ('aug'; 7.5); ('interval class 4'; 4.75)],0[None],31.75[('minor 7'; 11.0); ('interval class 5'; 6.25); ('minor-7'; 6.0); ('major'; 4); ('maj7'; 2.0); ('interval class 4'; 1.5); ('interval class 3'; 1.0)],11.0[('7'; 6.0); ('interval class 3'; 4.125); ('dim'; 0.5); ('interval class 2'; 0.375)],4.0[('major'; 4.0)],50.25[('major'; 46.75); ('interval class 5'; 3.375); ('interval class 4'; 0.125)],0[None],27.875[('major'; 22.875); ('7'; 5.0)],0[None],27.375[('minor'; 22.75); ('interval class 3'; 4.625)],71.125[('7'; 40.0); ('dim'; 25.75); ('interval class 3'; 5.375)],6.0[('interval class 3'; 6.0)]
paperback_writer,6,G,['None'],[('4/4'; 1)],single,mccartney,06 66,406.0,0.0,4.75,1.5,158.75,62.25,0.75,249.875,0.0,46.125,34.0,0.0,107.0[('major'; 88.0); ('7'; 16.0); ('interval class 4'; 3.0)],0[None],0[None],0[None],0[None],16.0[('major'; 16.0)],0[None],0[None],0[None],0[None],0[None],0[None]
rain,4,G,['None'],[('4/4'; 1); ('2/4'; 1)],single,lennon,06 66,155.875,0.0,5.75,0.375,62.375,46.5,0.3125,84.625,0.0,20.375,8.15625,0.75,45.625[('interval class 4'; 20.375); ('major'; 13.25); ('interval class 5'; 10.5); ('unison'; 1.5)],0[None],3.75[('interval class 3'; 3.0); ('interval class 5'; 0.75)],0[None],7.125[('interval class 3'; 7.125)],15.0[('interval class 5'; 7.5); ('interval class 4'; 6.5); ('major'; 1)],0[None],0.75[('interval class 5'; 0.75)],0[None],0.75[('interval class 3'; 0.75)],0[None],0[None]
she_loves_you,6,G,['None'],[('8/4'; 1); ('4/4'; 1)],single,mccartney; lennon,08 63,174.6875,0.1875,39.375,3.75,107.75,68.1875,6.4375,94.75,9.375,110.875,2.375,44.75,22.25[('major'; 17.75); ('interval class 4'; 2.0); ('maj7'; 1.75); ('interval class 5'; 0.75)],0[None],6.0[('7'; 6.0)],0[None],4.0[('minor'; 4.0)],15.5625[('minor'; 8.0); ('major'; 4.0); ('interval class 4'; 3.0); ('interval class 5'; 0.5625)],0.1875[('interval class 5'; 0.1875)],13.25[('7'; 13.25)],0[None],24.25[('minor'; 20.25); ('interval class 3'; 4)],1.875[('interval class 5'; 1.875)],0[None]
shes_a_woman,6,A,['None'],[('4/4'; 1)],single,mccartney,11 64,234.53125,3.5,21.25,63.4375,94.75,137.5,0.0,122.25,0.0,56.25,89.90625,32.125,46.0[('7'; 43.0); ('interval class 3'; 1.0); ('interval class 5'; 1.0); ('quartal'; 1.0)],0[None],0.5[('interval class 3'; 0.5)],1.0[('interval class 4'; 1.0)],4.0[('minor'; 4.0)],27.25[('7'; 25.0); ('major'; 2.0); ('interval class 4'; 0.25)],0[None],17.5[('7'; 12.0); ('interval class 2'; 4.5); ('major'; 1.0)],0[None],2.75[('major'; 2.0); ('interval class 3'; 0.75)],0[None],0[None]
thank_you_girl,5,D,['None'],[('4/4'; 1)],single,mccartney; lennon,04 62,124.5,0.25,76.875,0.0,41.625,102.625,0.0,105.5,0.0,40.875,0.0,32.875,30.875[('major'; 26.75); ('interval class 5'; 3.75); ('interval class 4'; 0.375)],0[None],6.5[('interval class 3'; 3.25); ('minor'; 2.0); ('interval class 5'; 1.25)],0[None],7.375[('interval class 3'; 7.0); ('interval class 5'; 0.375)],31.375[('major'; 25.75); ('interval class 5'; 5.25); ('quartal'; 0.25); ('interval class 4'; 0.125)],0[None],34.875[('7'; 18.0); ('major'; 8.0); ('interval class 5'; 6.625); ('interval class 4'; 2.25)],0[None],5.75[('interval class 3'; 3.75); ('minor'; 2.0)],0[None],3.25[('interval class 3'; 3.25)]
the_ballad_of_john_and_yoko,6,E,['None'],[('4/4'; 1); ('2/4'; 1)],single,lennon,05 69,296.375,1.25,38.34375,5.0625,128.0,77.875,2.75,275.71875,1.25,55.3125,41.875,34.5,91.0[('major'; 66.75); ('7'; 24.0); ('interval class 5'; 0.25)],0[None],0[None],2.75[('major-minor'; 2.75)],2.75[('interval class 3'; 2.75)],27.25[('major'; 24.0); ('whole-tone'; 2.5); ('interval class 4'; 0.75)],0[None],33.75[('7'; 17.375); ('major'; 9.0); ('interval class 4'; 4.25); ('major-minor'; 1.25); ('dim'; 1.25); ('interval class 3'; 0.625)],0[None],7.875[('minor 7'; 6); ('minor-7'; 1.875)],0[None],0[None]
the_inner_light,6,D#,['None'],[('4/4'; 1)],single,harrison,03 68,73.4375,0.0,8.5,0.0,23.375,20.625,0.0,27.71875,0.0,11.75,10.6875,0.25,0.5[('interval class 5'; 0.5)],0[None],2[('minor'; 2)],0[None],6.3125[('major'; 6.0); ('interval class 4'; 0.3125)],0.125[('interval class 5'; 0.0625); ('tritone'; 0.0625)],0[None],3.375[('7'; 3.25); ('interval class 3'; 0.125)],0[None],3.75[('major'; 3.75)],0[None],0.0625[('interval class 1'; 0.0625)]
this_boy,7,D,['None'],[('12/8'; 1)],single,lennon,11 63,131.125,0.0,115.375,1.0,114.125,56.5,3.0,121.0,3.875,124.75,6.0625,50.375,33.25[('major'; 27.0); ('7'; 4.5); ('ninth'; 1.375); ('major-second major tetrachord'; 0.375)],0[None],24.0[('7'; 13.5); ('minor'; 10.5)],0[None],3.0[('7'; 3.0)],6.75[('major'; 6.0); ('quartal'; 0.75)],0[None],27.0[('7'; 13.5); ('major'; 13.5)],0[None],27.0[('minor'; 27.0)],0[None],0[None]
we_can_work_it_out,4,D,['None'],[('4/4'; 1)],single,mccartney; lennon,12 65,122.875,0.0,16.75,0.0,80.75,60.75,0.0,51.625,5.125,43.0,15.0,11.125,40.375[('unison'; 15.875); ('major'; 13.75); ('interval class 4'; 9.25); ('interval class 5'; 1.5)],0[None],0.75[('interval class 3'; 0.75)],0[None],6.5[('interval class 5'; 2.0); ('major'; 2.0); ('interval class 3'; 1.5); ('interval class 4'; 1.0)],13.75[('major'; 5.0); ('interval class 4'; 5.0); ('quartal'; 3.75)],0[None],1.5[('7'; 1.5)],1.0[('interval class 3'; 1.0)],15.0[('minor'; 8.75); ('interval class 3'; 3.5); ('interval class 5'; 1.5); ('interval class 2'; 1.0); ('quartal'; 0.25)],6.0[('major'; 3.0); ('unison'; 3.0)],0.5[('interval class 3'; 0.5)]
yes_it_is,5,E,['None'],[('12/8'; 1); ('6/8'; 1)],single,lennon,04 65,161.9375,0.0,50.875,0.0,74.5625,55.125,3.0,109.125,1.5,63.5625,35.0,15.5625,44.0[('major'; 29.0); ('interval class 5'; 7.5); ('7'; 6.0); ('quartal'; 1.125); ('interval class 4'; 0.375)],0[None],8.25[('minor'; 2.75); ('minor 7'; 2.25); ('interval class 3'; 1.5); ('major'; 1.5); ('quartal'; 0.125); ('7'; 0.125)],0[None],0.125[('interval class 3'; 0.125)],12.375[('major'; 4.8125); ('quartal'; 4.5); ('interval class 4'; 3.0); ('major-second major tetrachord'; 0.0625)],1.5[('interval class 3'; 1.5)],20.375[('7'; 6.0); ('minor'; 3.375); ('interval class 4'; 3.0); ('interval class 3'; 3.0); ('interval class 2'; 2.25); ('minor-7'; 2.25); ('interval class 5'; 0.5)],0.75[('major'; 0.75)],26.0[('minor'; 12.625); ('interval class 3'; 8.75); ('minor-7'; 4.625)],7.875[('major'; 4.875); ('interval class 5'; 1.5); ('whole-tone'; 1.125); ('interval class 4'; 0.375)],0.75[('7'; 0.75)]
you_know_my_name_look_up_the_number,5,D,['None'],[('4/4'; 1); ('2/4'; 1)],single,lennon,03 70,96.75,0.0,54.84375,1.0,69.0625,54.25,5.6875,73.25,7.375,57.4375,0.0,29.125,17.375[('major'; 12.5); ('aug'; 2.875); ('interval class 4'; 1.75); ('interval class 5'; 0.25)],0[None],5.125[('minor'; 3.125); ('minor 7'; 1.0); ('interval class 4'; 0.375); ('quartal'; 0.375); ('major'; 0.25)],0[None],6.3125[('minor 7'; 2.5); ('minor'; 2.25); ('interval class 3'; 0.9375); ('interval class 4'; 0.625)],14.625[('major'; 11.5); ('interval class 5'; 3.0); ('major-second major tetrachord'; 0.125)],2.5[('half-dim 7'; 1.125); ('dim'; 0.875); ('dim 7'; 0.5)],12.8125[('7'; 7.875); ('major'; 4.125); ('interval class 5'; 0.5625); ('tritone quartal tetrachord'; 0.25)],0[None],9.625[('minor'; 4.125); ('minor 7'; 3.125); ('major pentatonic'; 1.625); ('interval class 2'; 0.625); ('interval class 3'; 0.125)],0[None],2.5[('dim'; 2.5)]
a_taste_of_honey,3,A,['None'],[('4/4'; 1); ('3/4'; 1)],please_please_me,marlow; scott ,03 63,32.75,0.0,27.125,0.0,39.125,0.75,7.125,30.875,0.75,69.5,0.25,6.375,4.75[('major'; 4.125); ('interval class 4'; 0.625)],0[None],5.25[('major'; 5.0); ('interval class 3'; 0.25)],0[None],0[None],0[None],0[None],4.875[('major'; 4.5); ('interval class 4'; 0.375)],0[None],15.0[('minor'; 14.75); ('interval class 3'; 0.25)],0[None],0.25[('interval class 3'; 0.25)]
anna_go_to_him,7,D,['None'],[('4/4'; 1)],please_please_me,alexander,03 63,191.75,0.03125,33.65625,0.0,84.03125,70.625,13.03125,57.6875,8.875,79.46875,5.0,22.03125,42.125[('major'; 21.0625); ('interval class 4'; 13.3125); ('interval class 1'; 2.375); ('7'; 2.03125); ('interval class 5'; 1.15625); ('maj7'; 0.75); ('major-minor'; 0.5); ('whole-tone'; 0.375); ('perfect-fourth major tetrachord'; 0.25); ('unison'; 0.1875); ('major 7'; 0.125)],0.03125[('interval class 1'; 0.03125)],6.21875[('interval class 2'; 2.21875); ('minor'; 1.25); ('interval class 3'; 1.0); ('7'; 1.0); ('minor-7'; 0.5); ('interval class 5'; 0.25)],0[None],3.9375[('interval class 3'; 1.65625); ('interval class 2'; 1.53125); ('unison'; 0.25); ('interval class 5'; 0.25); ('tritone'; 0.25)],32.75[('major'; 20.6875); ('interval class 5'; 9.4375); ('interval class 4'; 2.0); ('maj7'; 0.375); ('major 7'; 0.25)],7.09375[('dim'; 6.375); ('interval class 3'; 0.5); ('interval class 2'; 0.21875)],1.0[('interval class 4'; 0.75); ('interval class 3'; 0.25)],0[None],15.5[('minor'; 15.125); ('minor-7'; 0.25); ('major-second minor tetrachord'; 0.125)],1.0[('quartal'; 1.0)],9.375[('dim'; 6.4375); ('interval class 3'; 1.0); ('maj7'; 1.0); ('unison'; 0.46875); ('interval class 1'; 0.46875)]
ask_me_why,3,E,['None'],[('4/4'; 1)],please_please_me,lennon,03 63,113.625,0.0,57.9375,0.375,113.4375,54.75,4.0,72.75,18.25,72.5,0.75,50.8125,19.875[('major'; 19.875)],0[None],18.0[('minor'; 14.0); ('major'; 4.0)],0[None],22.0625[('minor'; 20.0); ('interval class 5'; 1.0625); ('minor 7'; 1)],20.5[('major'; 14.5); ('minor'; 6.0)],0[None],5.0[('major'; 5.0)],4.5[('aug'; 4.5)],12.0[('minor'; 12.0)],0[None],5.25[('7'; 5.25)]
baby_its_you,5,G,['None'],[('4/4'; 1)],please_please_me,david; bacharach; williams,03 63,143.1875,0.0,45.6875,0.0,105.375,52.0625,0.0,55.5625,0.0,130.625,0.0,11.625,24.5[('major'; 23.25); ('interval class 4'; 1.25)],0[None],6.0[('minor'; 6.0)],0[None],0[None],21.75[('major'; 12.75); ('interval class 4'; 6); ('interval class 5'; 3)],0[None],14.0[('interval class 5'; 8.625); ('major'; 5.375)],0[None],24.125[('minor'; 18.125); ('interval class 5'; 6)],0[None],3.375[('tritone'; 3.375)]
boys,5,E,['None'],[('4/4'; 1)],please_please_me,dixon; farrell,03 63,131.1875,0.0,23.4375,11.1875,31.1875,48.8125,1.5,67.125,1.625,20.125,29.03125,3.3125,19.0625[('major'; 10.375); ('7'; 6); ('minor'; 1.125); ('interval class 3'; 1.0625); ('interval class 4'; 0.25); ('interval class 5'; 0.25)],0[None],0[None],0[None],0.25[('interval class 3'; 0.25)],11.375[('major'; 9.125); ('minor'; 1.125); ('quartal'; 1.0); ('interval class 4'; 0.125)],0[None],3.75[('major'; 2.25); ('interval class 3'; 0.625); ('interval class 2'; 0.5); ('minor'; 0.375)],0.5[('interval class 5'; 0.5)],1.0[('interval class 5'; 0.75); ('tritone'; 0.25)],3.125[('major'; 3.125)],0.1875[('interval class 3'; 0.1875)]
chains,6,A#,['None'],[('4/4'; 1)],please_please_me,goffin; king,03 63,380.125,0.0,50.75,40.0,147.75,89.125,0.0,317.3125,2.0,78.4375,10.75,24.75,2.0[('7'; 2.0)],0[None],10.0[('minor'; 10.0)],0[None],134.0[('major'; 120.75); ('7'; 5.0); ('minor'; 4.0); ('interval class 4'; 2.0); ('unison'; 1.0); ('interval class 3'; 1.0); ('minor 7'; 0.25)],54.5[('ninth'; 40.0); ('perfect-fourth minor tetrachord'; 6.0); ('minor-7'; 3.75); ('interval class 5'; 2.25); ('minor'; 2.0); ('major-second major tetrachord'; 0.5)],0[None],11.5[('major'; 11.5)],0[None],13.5[('major'; 7.0); ('minor'; 4.0); ('7'; 2.0); ('maj7'; 0.5)],3.0[('dim'; 3.0)],0[None]
do_you_want_to_know_a_secret,5,E,['None'],[('4/4'; 1)],please_please_me,lennon,03 63,36.5625,1.5,54.0,15.0,21.1875,43.4375,4.625,56.125,8.625,48.6875,10.3125,23.8125,6.0[('major'; 4.5); ('minor'; 1.5)],0.5[('major'; 0.5)],9.375[('minor'; 9.375)],2.875[('minor'; 1.875); ('major'; 1)],1.875[('minor'; 1.875)],4.375[('major'; 3.875); ('minor'; 0.5)],0[None],10.625[('7'; 9.25); ('minor'; 0.875); ('major'; 0.5)],1.5[('major'; 1.5)],1.875[('interval class 5'; 1.125); ('minor'; 0.75)],0[None],0.75[('half-dim 7'; 0.75)]
i_saw_her_standing_there,4,E,['None'],[('4/4'; 1)],please_please_me,mccartney,03 63,145.6875,0.0,23.28125,17.75,44.875,60.28125,0.15625,55.9375,6.4375,11.5625,41.0625,8.25,27.0[('7'; 21.0); ('interval class 5'; 5.5); ('interval class 4'; 0.25); ('major'; 0.25)],0[None],5.375[('interval class 3'; 5.375)],1.25[('maj7'; 1.25)],12.0[('dim'; 9.625); ('interval class 3'; 1.5); ('tritone'; 0.5); ('tritone-fourth'; 0.375)],18.75[('interval class 5'; 10.25); ('7'; 3.625); ('interval class 2'; 3.5); ('interval class 4'; 0.75); ('major'; 0.5); ('major-second major tetrachord'; 0.125)],0[None],14.75[('interval class 5'; 8.0); ('7'; 5.75); ('interval class 3'; 0.5); ('interval class 2'; 0.5)],2.625[('interval class 4'; 1.125); ('interval class 5'; 1.0); ('major'; 0.5)],2.375[('interval class 3'; 1.75); ('interval class 5'; 0.375); ('tritone'; 0.25)],1.625[('interval class 5'; 1.375); ('interval class 4'; 0.25)],0.25[('tritone'; 0.25)]
love_me_do,2,G,['None'],[('4/4'; 1)],please_please_me,mccartney,03 63,256.625,0.0,21.0,0.0,88.625,97.375,0.0,77.625,0.0,54.25,13.5,11.5,44.0[('major'; 44.0)],0[None],0[None],0[None],0.375[('interval class 3'; 0.375)],42.5[('major'; 42.5)],0[None],8.0[('major'; 8.0)],0[None],0[None],0[None],0[None]
misery,6,C,['None'],[('4/4'; 1)],please_please_me,mccartney; lennon,03 63,74.5625,0.5,15.75,0.0,60.375,32.75,0.125,48.25,0.0,41.4375,0.0,13.5,20.875[('major'; 12.0); ('interval class 5'; 8.25); ('major 7'; 0.625)],0[None],1.5[('interval class 3'; 1.5)],0[None],0.75[('interval class 3'; 0.5); ('interval class 5'; 0.125); ('minor'; 0.125)],10.5[('major'; 6.0); ('interval class 5'; 4.5)],0[None],7.0[('interval class 5'; 2.5); ('major'; 2.5); ('7'; 2.0)],0[None],15.625[('minor'; 7.0); ('interval class 5'; 5.375); ('interval class 3'; 2.75); ('major'; 0.5)],0[None],0[None]
please_please_me,7,E,['None'],[('4/4'; 1)],please_please_me,lennon,03 63,202.5,0.0,24.5,9.25,53.5,58.625,0.0,135.875,4.875,48.25,4.75,16.125,38.25[('major'; 34.5); ('interval class 5'; 3.0); ('interval class 4'; 0.75)],0[None],3.75[('interval class 5'; 2.0); ('minor'; 1); ('unison'; 0.75)],2.0[('major'; 2.0)],2.5[('interval class 3'; 2.5)],24.0[('major'; 16.0); ('interval class 5'; 5.0); ('interval class 4'; 3.0)],0[None],14.5[('7'; 7.0); ('interval class 5'; 4); ('major'; 2.5); ('interval class 2'; 1.0)],1.0[('major'; 1.0)],5.0[('interval class 3'; 2.0); ('interval class 5'; 2.0); ('minor'; 1)],0[None],0[None]
ps_i_love_you,3,D,['None'],[('4/4'; 1)],please_please_me,mccartney,03 63,90.75,0.0,34.375,8.75,30.875,28.25,0.0,74.875,19.375,24.625,5.5,9.125,36.75[('major'; 27.625); ('interval class 5'; 4.5); ('interval class 4'; 3.625); ('unison'; 1)],0[None],3.625[('minor'; 3.375); ('quartal'; 0.25)],0[None],0.5[('interval class 3'; 0.25); ('minor-7'; 0.25)],7.75[('major'; 7.75)],0[None],7.875[('major'; 5.0); ('interval class 5'; 1.375); ('unison'; 1.0); ('7'; 0.5)],2.25[('dim 7'; 1.5); ('interval class 2'; 0.75)],3.25[('minor'; 3.0); ('7'; 0.25)],1.625[('major'; 1.0); ('unison'; 0.375); ('interval class 4'; 0.25)],0.25[('half-dim 7'; 0.25)]
theres_a_place,8,E,['None'],[('4/4'; 1)],please_please_me,lennon,03 63,168.3125,0.0,48.4375,0.125,90.0,64.28125,3.875,113.125,3.5,71.8125,0.125,55.6875,23.5[('major'; 23.5)],0[None],3.875[('major'; 3.375); ('minor'; 0.5)],0.125[('quartal'; 0.125)],2.875[('minor'; 2.875)],22.125[('major'; 22.125)],0[None],13.0[('major'; 13.0)],3.375[('major'; 3.375)],9.0[('minor'; 9.0)],0[None],0[None]
twist_and_shout,5,D,['None'],[('4/4'; 1)],please_please_me,medley; russell,03 63,47.25,0.0,48.75,1.75,12.75,34.125,0.0,110.375,0.875,25.875,1.75,71.75,9.75[('interval class 5'; 7.375); ('major'; 1.875); ('interval class 1'; 0.5)],0[None],1[('interval class 3'; 1)],0[None],4.75[('minor 7'; 2.625); ('interval class 5'; 1.125); ('half-dim 7'; 1.0)],13.125[('interval class 4'; 5.625); ('major'; 5.625); ('major-second major tetrachord'; 1.875)],0[None],48.0[('major'; 24.25); ('interval class 4'; 21.5); ('interval class 5'; 2.25)],0.125[('interval class 3'; 0.125)],5.625[('interval class 3'; 5.625)],0[None],11.125[('interval class 3'; 9.125); ('interval class 2'; 1.125); ('tritone'; 0.5); ('unison'; 0.375)]
all_ive_got_to_do,5,E,['None'],[('4/4'; 1)],with_the_beatles,lennon,11 63,130.625,0.0,34.9375,0.0,97.6875,48.625,0.0,43.0625,6.625,105.0625,0.0,2.125,25.25[('major'; 24.25); ('interval class 5'; 1.0)],0[None],9.75[('minor'; 8.25); ('dim-aug ninth'; 1.5)],0[None],0[None],16.5[('major'; 12.375); ('minor'; 4.125)],0[None],0[None],0[None],32.125[('minor'; 22.125); ('interval class 3'; 10)],0[None],0[None]
