Album Nummer,Jahr,Ebene1-Anteil,Ebene2-Anteil,Ebene3-Anteil,Ebene4-Anteil,c_Ebene1-Anteil,c_Ebene2-Anteil,c_Ebene3-Anteil,c_Ebene4-Anteil,Ebene1 und 2-Anteile,Ebene3 und 4-Anteile,cEbene1 und 2-Anteile,cEbene3 und 4-Anteile
10,1968,0.497307597,0.346615856,0.062132383,0.093944164,0.791758972,0.107221976,0.014178113,0.086840939,0.843923453,0.156076547,0.898980948,0.101019052
10,1968,0.347314779,0.285280282,0.194727558,0.172677381,0.540983607,0.182023742,0.188807236,0.088185415,0.632595061,0.367404939,0.723007349,0.276992651
10,1968,0.394083272,0.32742878,0.234660336,0.043827611,0.583690987,0.184549356,0.130901288,0.100858369,0.721512053,0.278487947,0.768240343,0.231759657
10,1968,0.338806258,0.33243191,0.283561908,0.045199923,0.378836834,0.432148627,0.138933764,0.050080775,0.671238169,0.328761831,0.81098546,0.18901454
10,1968,0.245772947,0.500603865,0.170289855,0.083333333,0.609756098,0.268292683,0.097560976,0.024390244,0.746376812,0.253623188,0.87804878,0.12195122
10,1968,0.148132694,0.238055498,0.457959524,0.155852285,0.230694037,0.265884653,0.485826002,0.017595308,0.386188191,0.613811809,0.49657869,0.50342131
10,1968,0.185314198,0.288978682,0.341995263,0.183711857,0.051282051,0.06043956,0.815018315,0.073260073,0.47429288,0.52570712,0.111721612,0.888278388
10,1968,0.434328153,0.383991198,0.128317976,0.053362674,0.594859241,0.255813953,0.097919217,0.051407589,0.818319351,0.181680649,0.850673195,0.149326805
10,1968,0.306122449,0.444897959,0.216326531,0.032653061,0.320754717,0.301886792,0.301886792,0.075471698,0.751020408,0.248979592,0.622641509,0.377358491
10,1968,0.110876005,0.172873466,0.28840457,0.427845959,0.069047619,0.028571429,0.447619048,0.454761905,0.283749471,0.716250529,0.097619048,0.902380952
10,1968,0.391582915,0.316729481,0.227617253,0.064070352,0.555181902,0.264445124,0.144604097,0.035768878,0.708312395,0.291687605,0.819627025,0.180372975
10,1968,0.293181486,0.36282669,0.316542561,0.027449263,0.52014652,0.314102564,0.152930403,0.012820513,0.656008176,0.343991824,0.834249084,0.165750916
10,1968,0.37557067,0.246156713,0.236094289,0.142178329,0.445002792,0.158570631,0.333891681,0.062534897,0.621727383,0.378272617,0.603573423,0.396426577
10,1968,0.224278312,0.290599556,0.352775722,0.13234641,0.214939024,0.296493902,0.400152439,0.088414634,0.514877868,0.485122132,0.511432927,0.488567073
10,1968,0.297049847,0.339776195,0.283485927,0.07968803,0.41221374,0.27480916,0.267175573,0.045801527,0.636826043,0.363173957,0.687022901,0.312977099
10,1968,0.286543973,0.303420576,0.239119777,0.170915674,0.410160245,0.145584726,0.316058643,0.128196386,0.58996455,0.41003545,0.555744971,0.444255029
10,1968,0.383273612,0.321749713,0.164965182,0.130011493,0.630875377,0.327727469,0.031047865,0.010349288,0.705023325,0.294976675,0.958602846,0.041397154
10,1968,0.198439242,0.362318841,0.161649944,0.277591973,0.605263158,0.184210526,0.005263158,0.205263158,0.560758082,0.439241918,0.789473684,0.210526316
10,1968,0.33062645,0.236078886,0.149265275,0.284029389,0.312299465,0.289839572,0.055614973,0.342245989,0.566705336,0.433294664,0.602139037,0.397860963
11,1969,0.283296214,0.422828508,0.270935412,0.022939866,0.342445328,0.345924453,0.311630219,0,0.706124722,0.293875278,0.688369781,0.311630219
11,1969,0.260255548,0.378902873,0.240561053,0.120280526,0.427061311,0.093023256,0.45243129,0.027484144,0.639158421,0.360841579,0.520084567,0.479915433
11,1969,0.475349235,0.450679015,0.07397175,0,0.793499044,0.13957935,0.066921606,0,0.92602825,0.07397175,0.933078394,0.066921606
11,1969,0.313016405,0.308106814,0.332894264,0.045982517,0.323255814,0.446976744,0.177674419,0.052093023,0.621123219,0.378876781,0.770232558,0.229767442
12,1969,0.320121595,0.181339881,0.31146966,0.187068865,0,0,0.8,0.2,0.501461476,0.498538524,0,1
12,1969,0.317436662,0.384035022,0.28185544,0.016672876,0.460980036,0.367513612,0.16969147,0.001814882,0.701471684,0.298528316,0.828493648,0.171506352
12,1969,0.425804334,0.331746553,0.117859488,0.124589626,0.352983988,0.011644833,0.328238719,0.30713246,0.757550886,0.242449114,0.364628821,0.635371179
12,1969,0.362249292,0.338747385,0.288175218,0.010828104,0.526932084,0.224824356,0.215456674,0.032786885,0.700996678,0.299003322,0.75175644,0.24824356
12,1969,0.390243902,0.313821138,0.286178862,0.009756098,0.581967213,0.18852459,0.229508197,0,0.704065041,0.295934959,0.770491803,0.229508197
