album nummer,date,ebene1,ebene2,ebene3,ebene4,c_ebene1,c_ebene2,c_ebene3,c_ebene4,e12,e34,ce12,ce34
1,1963,0.476412347,0.326150262,0.159580664,0.037856727,0.65560166,0.161825726,0.182572614,0,0.802562609,0.197437391,0.817427386,0.182572614
1,1963,0.479026383,0.250303566,0.223093057,0.047576995,0.484116566,0.283538987,0.164085062,0.068259386,0.729329948,0.270670052,0.767655553,0.232344447
1,1963,0.332849,0.332960769,0.29238851,0.041801721,0.297376093,0.237900875,0.422740525,0.041982507,0.665809769,0.334190231,0.535276968,0.464723032
1,1963,0.503216173,0.29577303,0.201010797,0,0.518666667,0.381333333,0.1,0,0.798989203,0.201010797,0.9,0.1
1,1963,0.410582549,0.266768422,0.205036886,0.117612143,0.511146497,0.385350318,0.011146497,0.092356688,0.677350971,0.322649029,0.896496815,0.103503185
1,1963,0.401895267,0.407592025,0.144281332,0.046231376,0.067833698,0.288840263,0.630196937,0.013129103,0.809487292,0.190512708,0.356673961,0.643326039
1,1963,0.263218834,0.238710922,0.374372829,0.123697414,0.198113208,0.377358491,0.301886792,0.122641509,0.501929757,0.498070243,0.575471698,0.424528302
1,1963,0.378659041,0.242757168,0.221085108,0.157498683,0.341569767,0.389534884,0.20494186,0.063953488,0.621416209,0.378583791,0.731104651,0.268895349
1,1963,0.501007252,0.267929089,0.20930701,0.021756648,0.463768116,0.532279315,0.003952569,0,0.768936342,0.231063658,0.996047431,0.003952569
1,1963,0.403829417,0.378154917,0.215839861,0.002175805,0.648888889,0.311111111,0.04,0,0.781984334,0.218015666,0.96,0.04
1,1963,0.449171518,0.339229736,0.17778773,0.033811017,0.475274725,0.423076923,0.068681319,0.032967033,0.788401254,0.211598746,0.898351648,0.101648352
1,1963,0.353369066,0.32388974,0.219754977,0.102986217,0.626223092,0.244618395,0.068493151,0.060665362,0.677258806,0.322741194,0.870841487,0.129158513
1,1963,0.387747893,0.328001211,0.271938235,0.012312661,0.417335474,0.451043339,0.086677368,0.04494382,0.715749104,0.284250896,0.868378812,0.131621188
1,1963,0.205840957,0.346586911,0.435256861,0.012315271,0.164438503,0.653743316,0.180481283,0.001336898,0.552427868,0.447572132,0.818181818,0.181818182
