song_title; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
julia;12.6875;1.375;4.625;3.0;27.5625;4.0;1.75;24.25;1.5;12.75;1.0;9.0;7.25[('interval class 5', 6.0), ('interval class 4', 1.0), ('interval class 1', 0.25)];0.25[('interval class 2', 0.25)];1.0[('interval class 5', 1.0)];0[None];0[None];0[None];0.25[('interval class 3', 0.25)];5.5[('interval class 4', 4.5), ('interval class 5', 1.0)];0[None];5.25[('interval class 2', 3.25), ('interval class 5', 2.0)];0[None];1.0[('interval class 5', 0.5), ('interval class 3', 0.25), ('unison', 0.25)]
long_long_long;14.375;9.0;52.4375;0;38.4375;18.75;23.5625;32.875;13.9375;30.0;0.1875;66.0;3.125[('quartal', 1.5625), ('interval class 4', 0.75), ('major', 0.625), ('interval class 5', 0.1875)];1.125[('minor', 1.125)];2.25[('major', 2.25)];0[None];16.9375[('major', 9.8125), ('interval class 3', 4.875), ('7', 1.875), ('minor', 0.375)];8.0[('interval class 3', 7.125), ('7', 0.875)];0[None];9.0[('interval class 5', 3.4375), ('major', 2.875), ('interval class 4', 2.5), ('minor', 0.1875)];0[None];11.625[('major', 6.625), ('interval class 4', 3.625), ('interval class 3', 1.375)];0[None];11.875[('minor', 9.375), ('interval class 3', 2.5)]
martha_my_dear;28.875;7.625;77.4375;0.25;59.5625;24.65625;68.53125;70.0625;5.0;54.25;1.0;51.3125;0.5[('interval class 5', 0.5)];0[None];27.0[('major', 21.0), ('quartal', 4.0), ('maj7', 1), ('interval class 5', 1)];0[None];10.125[('major', 6.125), ('interval class 5', 2), ('7', 1.0), ('interval class 4', 0.5), ('minor', 0.5)];3.625[('quartal', 3.5), ('maj7', 0.125)];0[None];0.5[('7', 0.5)];4.0[('half-dim 7', 4.0)];3.0[('major', 3.0)];1.0[('dim', 1.0)];18.5[('major 7', 9.0), ('minor', 7.0), ('minor 7', 1.125), ('major', 0.875), ('major-second major tetrachord', 0.5)]
mother_natures_son;78.25;0;8.03125;3.1875;36.125;15.375;2.75;51.125;0.8125;20.4375;5.375;5.75;27.5[('major', 20.4375), ('interval class 4', 2.75), ('minor 7', 1.5625), ('7', 0.5625), ('minor', 0.5), ('interval class 5', 0.5), ('quartal', 0.5), ('major-second major tetrachord', 0.375), ('major 7', 0.3125)];0[None];0.75[('interval class 3', 0.75)];1.0[('major', 1.0)];3.25[('dim', 1.75), ('interval class 3', 1.0), ('minor', 0.5)];11.5625[('major', 8.375), ('interval class 5', 1.375), ('minor', 0.8125), ('quartal', 0.75), ('interval class 4', 0.25)];1.625[('half-dim 7', 1.125), ('dim', 0.5)];1.5[('major', 1.5)];0[None];2.875[('minor', 1.125), ('interval class 3', 0.5), ('minor-7', 0.5), ('interval class 5', 0.25), ('tritone-fourth', 0.25), ('all-interval tetrachord', 0.25)];0[None];1.0[('interval class 3', 1.0)]
ob-la-di_ob-la-da;7.75;0;2.25;0;4.375;3.375;0;9.25;0;1.625;1.0;1.0;1.625[('unison', 0.625), ('interval class 4', 0.5), ('interval class 5', 0.5)];0[None];0.125[('interval class 3', 0.125)];0[None];1.5[('interval class 3', 1.375), ('interval class 5', 0.125)];0.5[('interval class 5', 0.375), ('unison', 0.125)];0[None];1.5[('interval class 5', 0.625), ('interval class 2', 0.375), ('interval class 3', 0.25), ('unison', 0.25)];0[None];0.5[('interval class 5', 0.25), ('interval class 3', 0.25)];0.5[('interval class 5', 0.5)];0.375[('interval class 3', 0.375)]
piggies;20.9375;22.125;28.0625;25.75;18.0;13.1875;40.375;33.0625;21.375;11.8125;16.75;43.9375;0[None];4.25[('7', 2.5), ('minor', 1.0), ('major', 0.75)];3.125[('interval class 3', 3.125)];1.5[('7', 1.5)];5.875[('major', 4.0), ('interval class 4', 1.75), ('unison', 0.125)];0.75[('interval class 5', 0.5), ('unison', 0.125), ('minor', 0.125)];15.0[('major', 15.0)];0.75[('interval class 5', 0.5), ('interval class 3', 0.125), ('unison', 0.0625), ('interval class 2', 0.0625)];3.0[('minor', 2.0), ('major', 1)];3.625[('minor', 2.0), ('major', 1.0), ('interval class 4', 0.625)];0.125[('7', 0.125)];14.5[('major', 12.0), ('interval class 4', 1.5), ('minor', 1.0)]
revolution_1;203.15625;32.75;87.875;7.78125;84.125;67.421875;0.84375;152.234375;0.03125;89.0625;6.40625;14.5625;83.0[('interval class 5', 35.375), ('interval class 4', 31.875), ('tritone-fourth', 9.375), ('major', 6.375)];3[('tritone', 3)];27.1875[('interval class 3', 13.0), ('minor', 7.75), ('7', 3.75), ('interval class 2', 2.625), ('interval class 5', 0.0625)];3.125[('interval class 4', 2.25), ('interval class 5', 0.5625), ('major', 0.3125)];2.375[('interval class 3', 2.375)];25.9375[('interval class 5', 19.0), ('interval class 4', 6.125), ('major', 0.8125)];0[None];28.125[('interval class 5', 11.125), ('major', 6.0), ('unison', 5.875), ('interval class 4', 3), ('7', 0.875), ('interval class 3', 0.625), ('minor 7', 0.5), ('minor', 0.125)];0[None];30.5[('interval class 3', 23.75), ('major', 6.75)];1.1875[('major', 1.125), ('maj7', 0.0625)];0[None]
rocky_raccoon;68.1875;0;73.8125;2.6875;45.25;16.1875;8.375;110.0625;0;57.3125;0.6875;45.5;20.4375[('major', 10.125), ('maj7', 6.0), ('interval class 4', 4.1875), ('interval class 5', 0.125)];0[None];8.6875[('major', 6.8125), ('interval class 3', 1.875)];0[None];1.0625[('interval class 2', 0.5), ('interval class 5', 0.5), ('interval class 3', 0.0625)];0.4375[('interval class 4', 0.4375)];0.875[('interval class 3', 0.875)];21.0[('7', 12.375), ('quartal', 6.375), ('major', 1.25), ('interval class 4', 1)];0[None];15.0625[('minor 7', 14.25), ('minor', 0.4375), ('interval class 3', 0.375)];0[None];0.6875[('interval class 3', 0.6875)]
savoy_truffle;110.75;20.8125;74.4375;13.5;98.125;28.25;39.1875;67.0;17.875;141.1875;4.0;55.6875;15.25[('major', 12.5), ('interval class 4', 1.875), ('interval class 5', 0.875)];0[None];19.5[('major', 16.5), ('interval class 5', 1.625), ('quartal', 0.75), ('interval class 4', 0.625)];1.75[('interval class 3', 1.75)];11.75[('major', 9.5), ('interval class 3', 2.0), ('interval class 4', 0.25)];12.375[('major', 7.5), ('interval class 5', 4.5), ('interval class 4', 0.375)];3.5[('dim', 1.25), ('tritone', 1.25), ('interval class 3', 1.0)];5.375[('quartal', 3.0), ('interval class 4', 1.125), ('interval class 3', 0.75), ('interval class 5', 0.5)];1.5[('interval class 3', 1.375), ('tritone', 0.125)];34.5625[('7', 10.625), ('minor', 7.25), ('interval class 3', 5.375), ('interval class 5', 4.875), ('major', 4), ('interval class 2', 2.4375)];0.25[('interval class 4', 0.25)];6.125[('major', 5.375), ('interval class 4', 0.75)]
sexy_sadie;66.625;2.875;39.5;18.5;53.9375;39.125;17.75;68.75;2.25;28.0625;14.5;70.3125;16.625[('major', 10.875), ('interval class 4', 3.625), ('interval class 5', 2.125)];0[None];4.4375[('interval class 3', 1.75), ('interval class 5', 1.0), ('minor', 0.6875), ('7', 0.5), ('half-dim 7', 0.5)];0[None];11.875[('minor', 8.5), ('interval class 3', 2.25), ('interval class 5', 1.0), ('7', 0.0625), ('interval class 4', 0.0625)];12.5625[('major', 10.5), ('minor', 1.25), ('interval class 4', 0.6875), ('quartal', 0.125)];1.25[('dim', 1.25)];11.75[('major', 11.75)];0[None];1.0[('interval class 5', 1.0)];6.0[('major', 6.0)];16.5[('major', 13.375), ('interval class 4', 2.0), ('interval class 3', 1.125)]
the_continuing_story_of_bungalow_bill;32.3125;5.75;14.4375;0.4375;38.5;20.5625;0.625;24.125;7.875;22.4375;0;17.25;7.0[('major', 4.5), ('interval class 4', 2.25), ('interval class 5', 0.25)];0.75[('interval class 3', 0.75)];3.0[('minor', 2.0), ('interval class 3', 0.75), ('unison', 0.25)];0[None];5.25[('major', 3.0), ('interval class 3', 0.75), ('interval class 5', 0.75), ('interval class 2', 0.5), ('major-second minor tetrachord', 0.25)];4.25[('minor', 2.5), ('major', 1.5), ('interval class 5', 0.25)];0[None];4.75[('major', 3.5), ('interval class 4', 0.75), ('interval class 2', 0.25), ('7', 0.25)];0.75[('interval class 3', 0.5), ('tritone', 0.25)];6.5[('major', 3.0), ('interval class 4', 2.0), ('minor', 1.5)];0[None];0.5[('interval class 3', 0.5)]
while_my_guitar_gently_weeps;207.125;70.25;154.96875;3.0;375.375;59.625;112.0;127.46875;98.0;267.75;0;181.6875;30.25[('major', 21.625), ('interval class 4', 7.875), ('interval class 5', 0.75)];24.0[('minor', 23.75), ('interval class 3', 0.25)];29.375[('major', 28.0), ('interval class 3', 1.0), ('interval class 5', 0.375)];0[None];56.75[('major', 53.75), ('interval class 4', 2.25), ('interval class 5', 0.5), ('unison', 0.25)];22.5[('major', 13.0), ('maj7', 8.0), ('interval class 4', 1.5)];22.5[('minor', 12.0), ('half-dim 7', 9.5), ('interval class 3', 1.0)];30.875[('major', 29.0), ('interval class 5', 1.0), ('interval class 4', 0.875)];0.5[('interval class 3', 0.5)];120.125[('minor', 83.0), ('minor 7', 13.0), ('major', 12.0), ('interval class 5', 6.25), ('interval class 3', 5.5), ('interval class 2', 0.375)];0[None];29.75[('minor', 24.0), ('interval class 3', 5.25), ('interval class 5', 0.5)]
why_dont_we_do_it_in_the_road;79.203125;0.75;4.5;9.25;27.796875;29.75;0.375;46.5625;0;9.375;19.671875;3.875;22.734375[('7', 11.296875), ('major', 8.875), ('interval class 4', 2.4375), ('interval class 5', 0.125)];0[None];0[None];0[None];1.125[('interval class 3', 0.625), ('tritone', 0.25), ('dim', 0.25)];8.375[('7', 5.25), ('major', 3.0), ('interval class 5', 0.125)];0[None];3.5[('7', 2.25), ('all-interval tetrachord', 0.75), ('interval class 3', 0.5)];0[None];0.125[('interval class 2', 0.125)];0.375[('unison', 0.375)];0[None]
wild_honey_pie;19.375;1.5;10.75;4.375;22.25;5.875;2.875;18.375;7.375;2.875;15.0;1.5;11.5[('7', 7.0), ('interval class 5', 4.5)];0[None];0[None];1.5[('7', 1.5)];0.125[('interval class 3', 0.125)];1.5[('quartal', 1.5)];0[None];2.875[('7', 2.875)];3.375[('7', 3.375)];2.875[('7', 2.875)];0[None];0[None]
yer_blues;100.3125;0.875;9.125;49.125;7.75;35.5625;3.5;68.5625;0.8125;6.5625;37.5;3.5625;18.0[('interval class 5', 14.5625), ('major', 2.125), ('interval class 3', 0.9375), ('unison', 0.375)];0[None];1.75[('minor', 0.6875), ('interval class 3', 0.6875), ('interval class 5', 0.375)];16.9375[('interval class 4', 9.75), ('interval class 5', 6.875), ('minor', 0.3125)];1.5[('interval class 3', 0.875), ('minor', 0.625)];5.0625[('interval class 4', 2.5), ('interval class 5', 1.6875), ('major', 0.875)];1.0625[('tritone', 0.75), ('interval class 3', 0.3125)];11.875[('interval class 3', 8.8125), ('interval class 5', 1.875), ('7', 0.875), ('interval class 4', 0.3125)];0.5[('interval class 4', 0.5)];0.25[('interval class 3', 0.25)];1.5[('major', 1.5)];0[None]
