song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
all_together_now;5;G;['None'];[('4/4', 1)];251.625;0;137.5;0.25;147.375;78.125;25.5;327.25;0;66.375;0;88.5;85.125[('major', 62.25), ('interval class 4', 16.125), ('unison', 3.5), ('interval class 5', 3.25)];0[None];39.25[('major', 25.0), ('interval class 3', 13.0), ('unison', 1.25)];0[None];30.875[('interval class 3', 24.875), ('unison', 6.0)];10.5[('major', 6.5), ('interval class 4', 3.0), ('unison', 1.0)];0[None];76.5[('major', 51.25), ('7', 24.75), ('interval class 4', 0.5)];0[None];1.0[('minor', 0.5), ('interval class 2', 0.5)];0[None];8.25[('interval class 3', 8.0), ('major', 0.25)]
hey_bulldog;5;D;['None'];[('4/4', 1)];24.75;46.375;68.3125;14.125;158.1875;10.625;9.5;88.3125;1.625;144.5625;6.625;77.5625;0[None];0.625[('interval class 3', 0.625)];6.0[('7', 2.0), ('minor', 2.0), ('major', 1.0), ('quartal', 1.0)];0[None];19.0[('minor', 19.0)];1.0[('major', 1.0)];0[None];4.5[('major', 2.0), ('interval class 4', 1.5), ('7', 1.0)];0[None];25.25[('7', 20.0), ('minor', 2.0), ('interval class 4', 1.375), ('quartal', 1.0), ('unison', 0.875)];1.0[('major', 1.0)];1.75[('interval class 3', 1.75)]
its_all_too_much;5;G;['None'];[('4/4', 1)];357.6875;0;27.09375;0;163.21875;28.125;0;198.71875;0;24.0625;0;4.1875;152.625[('major', 125.0), ('quartal', 21.125), ('interval class 5', 4.5), ('interval class 4', 2.0)];0[None];0[None];0[None];13.125[('interval class 3', 13.125)];25.875[('major', 15.0), ('quartal', 10.875)];0[None];1.5[('interval class 4', 1.5)];0[None];3.0[('interval class 3', 3.0)];0[None];0[None]
only_a_northern_song;4;A;['None'];[('4/4', 8), ('3/4', 4), ('2/4', 4)];99.3125;3;74.25;0.5625;57.75;67.25;0;103.0625;7.375;64.0625;13.0625;32.25;32.4375[('major', 32.3125), ('interval class 3', 0.125)];0[None];23.75[('minor', 11.5), ('quartal', 8.875), ('7', 2.5), ('minor 7', 0.75), ('interval class 3', 0.125)];0.25[('interval class 5', 0.25)];0.125[('interval class 3', 0.125)];27.1875[('major', 22.1875), ('quartal', 4.875), ('interval class 3', 0.125)];0[None];32.875[('major', 21.5), ('7', 11.0), ('interval class 3', 0.375)];1.625[('aug', 1.5), ('interval class 4', 0.125)];11.0[('7', 5.0), ('maj7', 3.0), ('major', 3)];5.125[('major', 4.0), ('interval class 4', 1.125)];0[None]
