song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
back_in_the_ussr;6;A;231.0;1.75;33.3125;75.3125;47.875;146.53125;2.25;116.46875;1.0625;47.4375;39.3125;12.875;32.5[('major', 27.5), ('7', 5.0)];0[None];2.0[('minor 7', 1.0), ('7', 0.5), ('interval class 4', 0.5)];12.0[('major', 12.0)];0[None];30.8125[('major', 24.8125), ('7', 3.0), ('maj7', 2.0), ('major 7', 1.0)];0[None];10.875[('7', 10.125), ('major', 0.75)];0[None];0[None];1.5[('major-second major tetrachord', 1.25), ('major', 0.25)];0[None]
birthday;6;A;67.5;1.0;51.0;27.625;34.125;40.5625;0;110.125;7.75;31.875;58.5;9.75;14.5[('major', 13.0), ('quartal', 1.5)];0[None];0.5[('minor', 0.5)];16.0[('major', 16.0)];0.75[('7', 0.375), ('minor', 0.375)];5.0[('major', 5.0)];0[None];5.625[('major', 5.625)];0[None];0[None];16.0[('major', 16.0)];0.5[('dim', 0.5)]
blackbird;1;G;32.0625;0;3.5;0.75;13.25;7.4375;3.75;9.375;2.0625;4.3125;1.5;0.75;2.25[('interval class 4', 1.3125), ('major', 0.9375)];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0.25[('quartal', 0.25)];0[None]
cry_baby_cry;8;G;104.125;2.5;41.5;9.1875;65.5625;39.0625;14.75;40.625;10.4375;96.375;33.90625;2.3125;13.125[('major', 13.0), ('interval class 4', 0.125)];0[None];8.875[('minor', 4.5), ('7', 3.0), ('major', 1.25), ('interval class 3', 0.125)];5.5[('7', 5.5)];0[None];0[None];4.0[('half-dim 7', 4.0)];0[None];0[None];18.0[('minor', 10.0), ('minor-aug tetrachord', 4.0), ('minor 7', 4.0)];9.0[('major', 9.0)];0.25[('interval class 3', 0.25)]
dear_prudence;7;D;146.6875;0.25;12.46875;2.59375;40.9375;14.28125;1.3125;67.78125;12.8125;19.96875;22.53125;0.75;13.75[('major', 6.75), ('aug major tetrachord', 3.25), ('7', 2.25), ('quartal', 1), ('interval class 5', 0.5)];0[None];0[None];0[None];1.375[('dim', 1.375)];1.0[('major', 0.5), ('perfect-fourth major tetrachord', 0.5)];0[None];0[None];0[None];3.25[('minor 7', 3.25)];1.0[('major', 1.0)];0[None]
dont_pass_me_by;7;C;171.25;0.125;53.4375;4.625;84.8125;70.5;0.25;130.75;0;59.75;0.1875;31.375;49.5[('major', 47.0), ('quartal', 2.5)];0[None];0.5[('minor', 0.5)];0[None];1.0[('interval class 3', 1.0)];44.25[('major', 43.75), ('maj7', 0.5)];0[None];24.25[('major', 24.25)];0[None];0[None];0[None];0[None]
everybodys_got_something_to_hide_except_me_and_my_monkey;4;E;65.4375;0.75;21.4375;8.625;20.0;51.75;0.125;32.125;0;15.15625;44.59375;4.25;6.5[('major', 6.5)];0.75[('major', 0.75)];0[None];1.125[('major', 1.125)];0[None];9.5[('major', 9.5)];0[None];0[None];0[None];0[None];6.375[('major', 6.375)];0[None]
glass_onion;4;F;68.5625;16.75;32.5;1.25;95.3125;12.5;5.875;93.1875;1.0;40.25;17.5;49.375;19.3125[('major', 19.3125)];0.875[('dim', 0.875)];8.125[('major', 5.0), ('minor', 3.125)];0[None];19.875[('minor', 16.875), ('minor 7', 3.0)];5.625[('7', 5.625)];0[None];2.75[('major', 1.625), ('minor', 1.125)];0[None];15.125[('major', 6.125), ('7', 6.0), ('minor 7', 3.0)];10.375[('7', 10.375)];0[None]
good_night;9;G;79.375;0;48.90625;0;49.40625;42.1875;0.5;53.71875;0;37.375;0.8125;34.46875;1.125[('major', 1.125)];0[None];0[None];0[None];1.25[('minor', 1.25)];0.375[('major', 0.375)];0[None];0[None];0[None];0[None];0[None];0[None]
happiness_is_a_warm_gun;6;G;51.3125;3.8125;56.875;0.75;17.78125;54.09375;5.0;14.71875;0.5;70.3125;30.65625;1.8125;3.25[('major', 3.25)];0[None];11.0[('minor', 6.0), ('7', 5.0)];0[None];1.125[('dim', 1.125)];9.5[('major', 9.5)];0[None];0[None];0[None];0[None];5.375[('major', 3.375), ('minor', 2)];0[None]
helter_skelter;5;D;29.875;0;356.125;1.75;4.6875;35.9375;75.625;42.1875;0.5625;185.875;2.75;19.0625;0[None];0[None];77.125[('major', 68.625), ('7', 5.5), ('unison', 2), ('interval class 5', 1)];0[None];0[None];9.5[('major', 9.125), ('interval class 5', 0.375)];0[None];13.625[('major', 13.625)];0[None];0[None];0[None];0[None]
honey_pie;9;G;131.25;15.5;53.4375;19.25;88.375;44.8125;28.1875;93.5625;38.9375;90.25;8.25;25.9375;34.0[('major', 31.0), ('7', 2.0), ('major-second major tetrachord', 0.75), ('unison', 0.25)];0[None];13.125[('7', 7.0), ('minor', 4.125), ('perfect-fourth minor tetrachord', 1.0), ('interval class 3', 0.75), ('minor-7', 0.25)];0[None];0.375[('major-minor', 0.375)];3.375[('major', 2.875), ('maj7', 0.5)];6.0[('7', 4.0), ('dim', 2.0)];15.625[('7', 10.5), ('whole-tone', 4.375), ('major', 0.375), ('interval class 5', 0.375)];0[None];25.0625[('minor 7', 8.5625), ('major', 8.25), ('minor', 4.625), ('7', 3.375), ('interval class 5', 0.25)];0.75[('major-second major tetrachord', 0.75)];4.3125[('minor 7', 3.0625), ('major-minor', 0.75), ('minor', 0.5)]
i_will;5;F;94.125;0;18.75;0.875;48.0;34.9375;5.875;64.0625;4.375;40.75;3.875;26.625;13.25[('major', 12.5), ('interval class 5', 0.75)];0[None];1.0[('7', 1.0)];0.25[('dim 7', 0.25)];3.0[('minor', 3.0)];8.0[('7', 8.0)];2.0[('7', 2.0)];0[None];0[None];16.5[('minor', 7.25), ('major', 5.75), ('minor 7', 3.5)];3.0[('7', 3.0)];0[None]
im_so_tired;6;A;70.625;0;25.6875;5.0625;34.4375;44.875;3.0;73.125;5.625;39.0;0.9375;21.1875;17.6875[('major', 17.5), ('quartal', 0.1875)];0[None];0[None];2.25[('aug', 2.25)];0[None];15.0[('major', 11.0), ('minor', 4.0)];1.5[('7', 1.5)];10.8125[('major', 9.3125), ('7', 1.5)];0[None];3.75[('minor', 3.75)];0[None];0[None]
julia;1;G;24.25;1.5;12.75;1.0;9.0;12.6875;1.375;4.625;3.0;27.5625;4.0;1.75;0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None]
long_long_long;5;F;14.375;9.0;52.4375;0;38.4375;18.75;23.5625;32.875;13.9375;30.0;0.1875;66.0;2.1875[('quartal', 1.5625), ('major', 0.625)];1.125[('minor', 1.125)];2.25[('major', 2.25)];0[None];12.0625[('major', 9.8125), ('7', 1.875), ('minor', 0.375)];0.875[('7', 0.875)];0[None];3.0625[('major', 2.875), ('minor', 0.1875)];0[None];6.625[('major', 6.625)];0[None];9.375[('minor', 9.375)]
martha_my_dear;7;D#;28.875;7.625;77.4375;0.25;59.5625;24.65625;68.53125;70.0625;5.0;54.25;1.0;51.3125;0[None];0[None];27.0[('major', 21.0), ('quartal', 4.0), ('maj7', 1), ('interval class 5', 1)];0[None];10.125[('major', 6.125), ('interval class 5', 2), ('7', 1.0), ('interval class 4', 0.5), ('minor', 0.5)];3.625[('quartal', 3.5), ('maj7', 0.125)];0[None];0.5[('7', 0.5)];4.0[('half-dim 7', 4.0)];3.0[('major', 3.0)];1.0[('dim', 1.0)];18.5[('major 7', 9.0), ('minor', 7.0), ('minor 7', 1.125), ('major', 0.875), ('major-second major tetrachord', 0.5)]
mother_natures_son;5;D;78.25;0;8.03125;3.1875;36.125;15.375;2.75;51.125;0.8125;20.4375;5.375;5.75;25.125[('major', 20.4375), ('minor 7', 1.5625), ('7', 0.5625), ('minor', 0.5), ('quartal', 0.5), ('interval class 4', 0.5), ('interval class 5', 0.375), ('major-second major tetrachord', 0.375), ('major 7', 0.3125)];0[None];0[None];1.0[('major', 1.0)];2.25[('dim', 1.75), ('minor', 0.5)];10.9375[('major', 8.375), ('interval class 5', 1.0), ('minor', 0.8125), ('quartal', 0.75)];1.625[('half-dim 7', 1.125), ('dim', 0.5)];1.5[('major', 1.5)];0[None];2.125[('minor', 1.125), ('minor-7', 0.5), ('tritone-fourth', 0.25), ('all-interval tetrachord', 0.25)];0[None];0[None]
ob-la-di_ob-la-da;1;G;1.0;1.0;7.75;0;2.25;0;4.375;3.375;0;9.25;0;1.625;0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None];0[None]
piggies;5;G#;20.9375;22.125;28.0625;25.75;18.0;13.1875;40.375;33.0625;21.375;11.8125;16.75;43.9375;0[None];4.25[('7', 2.5), ('minor', 1.0), ('major', 0.75)];0[None];1.5[('7', 1.5)];4.0[('major', 4.0)];0.125[('minor', 0.125)];15.0[('major', 15.0)];0[None];3.0[('minor', 2.0), ('major', 1)];3.0[('minor', 2.0), ('major', 1.0)];0.125[('7', 0.125)];13.0[('major', 12.0), ('minor', 1.0)]
revolution_1;7;A;203.15625;32.75;87.875;7.78125;84.125;67.421875;0.84375;152.234375;0.03125;89.0625;6.40625;14.5625;22.0[('tritone-fourth', 9.375), ('major', 6.375), ('interval class 5', 6.25)];3[('tritone', 3)];11.5[('minor', 7.75), ('7', 3.75)];0.3125[('major', 0.3125)];0[None];0.8125[('major', 0.8125)];0[None];7.5[('major', 6.0), ('7', 0.875), ('minor 7', 0.5), ('minor', 0.125)];0[None];12.5[('major', 6.75), ('interval class 3', 5.75)];1.1875[('major', 1.125), ('maj7', 0.0625)];0[None]
